Site,Sum_N,Sum_C,ndvi.m,Area,number.poops,slope,total_weight,extra_weight,used_weight,total_N_per_m_fragment_scale
1,1.4299,7.8073,0.021475239,510,2,13.66422129,42.75,25.73,17.02,0.002803725
2,0.9031,5.3774,-0.154650104,845,3,16.4724415,39.18,14.31,24.87,0.001068757
3,4.7152,23.8125,-0.008403574,1198,9,13.35567195,95.22,34.48,60.74,0.003935893
4,8.4607,38.576,0.03258308,521,14,11.93023071,203.94,100.95,102.99,0.016239347
6,1.0496,5.2434,-0.026388442,385,2,28.99472618,35.14,19.36,15.78,0.002726234
7,2.7088,11.8958,-0.012395926,497,3,21.61074384,51.62,33.16,18.46,0.005450302
8,2.3903,13.619,-0.027214586,145,3,19.00377083,84.99,49.33,35.66,0.016484828
9,0.834,5.3485,-0.034549869,189,2,22.01154073,22.51,10.08,12.43,0.004412698
10,0.7331,2.9022,0.034069367,438,2,22.4626146,14.55,6.81,7.74,0.001673744
5,0,0,0.173787127,779,0,12.74666176,0,0,0,0
