site,Scat_ID,weight_g,tot_N,tot_C,ndvi.m,Area,slope
R1,R1_1,33.03,1.0503,5.0748,0.021475239,510,13.66422129
R1,R1_2,9.72,0.3796,2.7325,0.021475239,510,13.66422129
R2,R2_1,6.977,0.1958,0.9753,-0.154650104,845,16.4724415
R2,R2_2,25.33,0.5717,3.5521,-0.154650104,845,16.4724415
R2,R2_3,6.87,0.1356,0.85,-0.154650104,845,16.4724415
R3,R3_1,6.305,0.1315,2.0981,-0.008403574,1198,13.35567195
R3,R3_2.1,5.28,0.3368,1.6267,-0.008403574,1198,13.35567195
R3,R3_2.2,15.08,0.7867,4.4008,-0.008403574,1198,13.35567195
R3,R3_3,16.335,0.5403,2.1652,-0.008403574,1198,13.35567195
R3,R3_4.1,5.766,0.0675,0.4232,-0.008403574,1198,13.35567195
R3,R3_4.2,1.261,0.0917,0.5167,-0.008403574,1198,13.35567195
R3,R3_5,18.136,0.6119,3.4858,-0.008403574,1198,13.35567195
R3,R3_6,14.515,0.5712,2.3338,-0.008403574,1198,13.35567195
R3,R3_7,12.54,0.497,2.4318,-0.008403574,1198,13.35567195
R4,R4_1,23.37,0.9685,4.6418,0.03258308,521,11.93023071
R4,R4_2.1,18.3,0.7532,3.2062,0.03258308,521,11.93023071
R4,R4_2.2,4.54,0.3038,1.4813,0.03258308,521,11.93023071
R4,R4_3,29.28,1.1849,5.2259,0.03258308,521,11.93023071
R4,R4_4,6.48,0.2905,1.3879,0.03258308,521,11.93023071
R4,R4_5,13.137,0.7694,3.0199,0.03258308,521,11.93023071
R4,R4_6,7.07,0.1732,0.8668,0.03258308,521,11.93023071
R4,R4_7,3.89,0.1221,0.6373,0.03258308,521,11.93023071
R4,R4_8,7.383,0.244,1.1179,0.03258308,521,11.93023071
R4,R4_9,4.23,0.1685,1.0876,0.03258308,521,11.93023071
R4,R4_10,19.127,0.7945,4.4763,0.03258308,521,11.93023071
R4,R4_12,23.756,0.5316,2.0945,0.03258308,521,11.93023071
R4,R4_13,21.3,0.7493,3.8303,0.03258308,521,11.93023071
R4,R4_14,4.94,0.3026,1.4343,0.03258308,521,11.93023071
R4,R4_15,16.291,1.1046,4.068,0.03258308,521,11.93023071
R6,R6_1,27.16,0.9063,4.5033,-0.026388442,385,28.99472618
R6,R6_2,7.98,0.1433,0.7401,-0.026388442,385,28.99472618
R7,R7_1,17.12,1.1086,4.268,-0.012395926,497,21.61074384
R7,R7_2,18.308,0.8169,3.9946,-0.012395926,497,21.61074384
R7,R7_3,16.19,0.7833,3.6332,-0.012395926,497,21.61074384
R8,R8_1,41.8,1.1235,5.8756,-0.027214586,145,19.00377083
R8,R8_2,14.998,0.2717,2.2712,-0.027214586,145,19.00377083
R8,R8_3,28.19,0.9951,5.4722,-0.027214586,145,19.00377083
R9,R9_1,14.82,0.7108,3.7102,-0.034549869,189,22.01154073
R9,R9_2,7.69,0.1232,1.6383,-0.034549869,189,22.01154073
R10,R10_1,1.19,0.0462,0.2996,0.034069367,438,22.4626146
R10,R10_2,13.36,0.6869,2.6026,0.034069367,438,22.4626146
